558 12784
454 202 38
408 57 11
483 555 17
146 337 18
33 256 39
323 434 48
356 352 3
387 425 9
4 378 50
94 376 33
233 414 38
361 548 17
175 227 9
426 171 10
191 376 19
218 273 28
28 100 16
422 373 45
358 341 47
90 549 20
18 379 29
76 290 30
114 273 27
46 224 46
552 397 35
69 194 4
532 363 39
459 334 13
290 185 47
238 518 31
197 318 45
390 258 31
558 382 12
525 533 5
372 413 16
105 558 14
167 520 30
308 392 47
399 448 16
2 8 21
16 273 8
506 443 2
15 552 46
30 397 50
67 62 14
137 368 36
303 96 14
145 94 9
537 462 20
331 287 27
172 124 2
303 229 32
7 460 37
539 43 38
102 370 36
428 211 50
124 197 17
51 99 3
203 19 39
192 493 17
449 19 17
30 264 14
267 369 4
225 146 6
239 223 22
156 398 36
54 53 19
24 218 49
51 206 11
95 253 47
218 498 20
224 431 40
400 465 7
436 37 25
123 258 21
175 535 36
171 469 26
127 432 36
473 61 15
443 336 4
53 202 25
373 470 36
552 4 2
347 186 27
58 75 13
353 463 23
324 543 33
9 484 40
105 331 22
412 108 34
178 60 20
191 281 30
7 376 27
394 491 34
515 456 16
94 269 44
168 259 34
45 419 28
40 354 6
290 496 38
501 363 13
108 71 9
104 545 25
349 493 15
314 38 43
416 205 50
476 349 5
54 32 14
535 259 27
236 506 25
557 30 35
455 83 12
11 156 38
295 63 30
115 232 49
74 409 9
145 201 27
182 88 41
173 241 18
397 383 49
309 422 23
72 40 22
56 389 18
484 101 41
239 306 50
327 115 39
285 480 7
259 329 28
246 375 16
531 142 34
26 353 39
401 180 17
211 456 15
430 133 36
14 167 28
94 493 11
433 3 12
503 280 17
70 238 28
359 302 35
119 150 21
227 43 19
493 469 27
434 174 34
49 76 12
125 438 45
490 493 11
283 335 11
511 520 28
97 468 9
469 81 46
526 15 12
378 161 37
468 293 17
157 443 9
161 126 17
192 92 11
212 419 24
522 22 36
289 292 13
313 345 16
442 218 16
89 462 44
375 470 12
29 52 39
214 100 26
405 8 27
417 226 40
476 125 13
364 410 32
101 92 23
462 383 10
162 105 49
44 297 7
528 328 13
205 558 3
50 260 31
215 461 7
288 309 37
3 322 12
49 464 45
292 24 29
78 421 35
305 205 49
224 306 16
64 386 35
493 538 40
115 482 6
319 79 27
529 338 46
46 94 40
182 529 23
90 341 36
61 498 39
164 89 22
261 143 26
115 405 19
384 19 4
45 80 9
257 478 37
41 194 16
297 216 10
299 517 31
379 241 38
367 142 4
184 502 17
114 356 29
245 354 44
230 241 5
499 388 11
362 198 35
