860 29452
714 53 16
401 370 32
228 68 36
823 263 14
791 230 48
777 230 11
584 665 19
628 393 31
759 694 7
602 462 33
271 713 18
553 383 40
172 272 19
12 482 39
239 261 42
100 269 17
820 766 30
273 756 47
244 181 22
502 586 43
401 778 5
262 256 13
123 695 35
569 450 35
230 504 18
240 342 29
390 829 8
357 692 7
823 325 24
258 623 19
100 847 50
304 648 8
216 508 50
95 400 22
764 299 43
471 292 47
391 574 10
586 66 1
547 647 23
717 80 5
402 636 9
361 767 25
746 58 23
216 552 20
641 609 32
771 691 46
545 797 47
797 3 34
457 424 6
635 408 2
158 480 42
106 750 17
242 260 32
212 428 33
602 103 8
385 296 33
376 242 25
17 212 4
373 362 2
325 137 42
690 722 24
203 652 41
369 232 19
540 364 11
765 190 16
451 782 1
779 546 39
480 201 8
154 425 23
855 365 4
266 805 18
398 49 24
833 43 23
408 373 38
141 343 43
246 382 35
752 482 22
710 71 25
142 610 43
90 575 3
404 621 35
329 148 25
315 420 12
617 240 12
213 543 6
335 74 9
428 25 48
145 449 50
468 330 13
183 277 27
171 426 6
16 264 15
655 181 14
535 48 30
157 845 39
770 91 4
550 100 34
44 813 3
576 354 5
594 540 19
728 62 16
375 836 41
534 329 12
390 551 43
445 471 17
698 532 41
427 732 8
202 79 19
279 813 50
515 783 9
637 518 40
4 782 9
252 755 12
399 382 11
821 125 14
67 409 5
857 135 48
710 617 48
859 81 47
399 495 41
533 323 17
814 393 48
37 534 33
269 230 25
173 74 13
186 57 38
650 81 11
121 501 11
364 39 21
674 810 6
282 473 9
664 216 8
91 382 4
190 374 49
107 100 32
831 384 32
319 331 17
737 690 19
508 22 2
786 721 49
156 75 46
273 313 6
374 515 25
734 648 28
124 784 31
494 670 25
446 599 5
194 443 29
486 655 12
82 815 28
610 311 31
87 331 1
305 575 16
650 52 39
844 161 17
189 851 5
192 152 15
484 137 38
314 328 36
593 9 39
253 28 25
261 141 20
460 81 2
320 647 13
610 351 17
589 49 31
29 719 44
115 522 41
254 447 43
81 375 27
287 541 12
75 460 41
485 312 31
440 38 23
377 614 21
289 51 1
209 61 1
199 347 22
84 276 6
835 314 1
721 428 7
24 368 36
798 93 5
411 763 14
829 594 45
837 499 4
858 789 34
850 331 40
631 151 10
44 538 35
444 706 13
454 290 40
687 592 47
549 561 10
411 287 48
170 784 41
486 564 4
265 839 11
309 253 38
834 664 9
571 722 49
317 333 50
228 325 42
34 759 5
531 1 39
547 118 4
195 183 6
671 350 24
354 548 30
340 262 43
177 700 15
837 105 4
675 733 18
146 851 38
741 279 13
345 518 39
761 116 14
732 16 1
579 530 22
494 109 46
307 509 11
733 804 47
518 345 11
409 30 21
832 171 14
555 529 40
514 570 18
647 652 4
490 321 43
572 522 37
183 341 4
446 838 1
821 556 40
83 711 9
798 483 33
512 832 22
776 69 42
508 221 15
739 712 49
277 507 21
685 350 5
690 675 17
719 140 28
434 131 47
378 839 49
572 196 16
456 81 5
692 146 26
677 828 47
855 214 48
212 768 35
114 10 17
316 587 37
