154 61643
139 15 37
25 102 15
117 79 6
48 49 14
76 27 36
115 138 49
7 9 10
144 129 7
17 8 22
127 134 32
141 117 9
30 119 32
73 50 19
153 123 11
147 150 25
148 7 40
7 138 9
4 37 50
2 72 31
36 43 10
45 52 46
29 154 31
11 139 3
123 98 47
90 120 2
93 98 3
29 34 17
50 36 47
123 87 1
98 93 14
30 27 22
7 110 45
5 148 44
74 87 34
104 68 46
79 17 19
25 23 43
73 93 1
31 28 34
9 84 42
43 150 28
27 76 44
26 143 14
29 32 32
116 136 17
21 13 6
68 11 37
49 55 15
55 26 42
34 31 34
106 136 2
43 74 5
10 47 4
63 35 28
12 107 20
36 108 19
151 23 35
146 77 36
108 154 37
94 59 8
129 54 23
24 142 15
88 89 35
47 63 35
50 98 49
2 92 40
65 74 11
24 133 1
135 33 29
125 106 36
36 11 11
52 49 12
55 152 21
116 138 40
134 90 23
153 101 13
89 25 40
97 39 9
109 145 2
139 107 2
5 113 12
1 130 37
74 14 36
4 39 24
31 51 36
127 116 7
34 45 17
64 104 18
134 113 10
94 91 21
23 50 5
3 93 49
61 142 50
86 150 48
104 141 24
92 20 9
125 145 41
145 105 26
87 71 30
149 69 5
55 54 20
99 33 19
154 132 34
99 70 20
81 12 41
127 79 27
34 54 45
94 110 13
27 112 3
72 94 30
139 141 5
36 128 17
20 14 37
36 19 29
40 89 43
93 9 12
137 136 40
30 39 32
113 145 13
82 50 3
60 127 10
28 7 50
115 127 29
101 45 46
124 25 26
24 99 44
125 46 5
33 53 24
66 33 38
6 135 4
19 94 33
34 3 35
3 99 33
29 80 41
125 29 1
131 102 42
24 21 39
7 91 39
99 62 48
14 52 42
22 129 24
110 30 21
24 41 4
22 79 24
98 80 16
85 19 37
57 12 14
144 152 18
122 115 9
143 85 24
87 89 6
126 31 10
132 99 34
26 32 20
79 16 10
99 122 3
137 126 34
154 58 28
105 78 1
144 85 22
82 99 43
147 118 24
141 49 48
44 121 34
57 62 41
151 146 16
144 89 24
112 145 35
89 74 7
5 93 10
78 100 4
120 133 41
61 38 35
140 16 10
130 142 38
62 51 8
29 71 40
151 103 24
30 93 49
128 148 35
117 97 20
88 16 39
17 138 31
111 11 33
154 22 23
146 133 21
28 129 37
57 101 13
131 21 42
62 72 27
25 45 4
117 38 50
12 128 27
81 93 2
34 88 39
152 8 12
33 128 18
117 8 16
82 55 2
89 104 30
110 106 4
130 146 9
72 130 15
109 102 7
71 55 10
149 61 6
67 129 22
39 45 3
116 17 24
138 110 33
139 114 10
43 150 43
131 63 29
66 115 43
124 154 7
4 144 16
12 13 23
83 67 41
30 142 48
32 41 4
146 27 17
36 150 47
37 5 41
17 44 14
124 46 27
82 145 16
110 36 49
39 30 46
