592 62701
289 199 8
222 539 50
285 449 31
28 427 32
206 308 39
505 230 15
261 158 9
461 282 47
278 286 23
328 358 23
406 331 16
124 56 19
216 543 14
573 39 10
187 415 12
384 516 3
505 389 24
122 334 7
129 441 4
563 157 27
289 176 41
216 428 28
159 574 34
571 365 5
414 232 41
10 562 21
302 365 13
324 210 32
195 68 24
91 154 38
298 222 16
581 197 26
127 140 48
592 552 46
499 410 36
289 543 32
76 325 42
272 542 24
169 397 13
137 55 12
292 291 24
134 550 21
106 403 27
509 10 37
393 171 13
337 568 8
178 194 5
144 58 44
307 438 10
147 100 49
320 523 7
124 196 37
267 205 19
56 53 5
60 3 32
65 519 8
343 460 5
188 100 27
264 76 39
556 345 21
163 360 44
183 283 43
309 324 20
546 374 24
535 11 26
349 55 32
354 92 50
481 152 49
239 37 38
533 48 49
311 450 15
169 402 11
82 502 26
524 323 2
269 436 32
177 526 36
589 202 30
205 232 14
295 127 3
561 375 42
237 359 45
226 40 50
515 398 30
419 96 7
398 281 38
416 474 1
524 283 10
469 532 27
149 181 1
299 129 16
367 312 17
457 590 44
424 128 21
318 512 28
577 387 29
267 286 10
369 352 3
223 172 44
585 446 1
255 286 46
501 240 33
39 50 13
521 215 34
437 261 23
82 51 9
69 491 8
248 591 45
329 343 11
128 173 12
557 305 17
482 370 12
411 270 1
503 133 50
419 293 2
341 208 11
523 270 13
501 113 36
12 194 9
545 484 2
578 41 6
188 54 21
383 421 37
474 279 24
323 535 3
335 180 4
395 167 10
426 277 23
342 426 8
21 441 3
213 11 9
391 498 44
90 277 24
323 479 5
7 532 19
472 567 29
502 97 25
190 564 41
64 72 41
145 587 5
376 501 30
88 20 40
447 516 14
194 92 14
340 207 40
333 53 10
216 421 8
462 244 14
55 313 15
559 288 37
586 569 1
306 430 40
159 412 44
302 208 17
162 565 25
261 319 35
271 210 17
505 434 12
265 111 19
174 220 22
105 448 49
377 119 19
239 100 1
467 120 30
353 285 6
82 134 36
55 102 13
295 220 3
129 430 29
214 116 10
169 123 48
325 266 5
327 482 20
60 281 32
470 230 42
561 79 30
433 367 33
263 120 32
191 590 48
353 246 24
187 321 29
540 577 30
563 233 28
164 344 29
91 454 50
260 157 39
30 35 2
285 273 30
36 390 22
44 201 12
31 392 7
434 496 13
450 453 9
172 213 20
91 9 38
464 537 9
544 410 44
224 290 27
129 560 17
134 357 10
315 211 35
12 188 18
43 360 14
264 517 16
343 530 38
29 330 28
528 568 23
456 328 18
524 68 10
345 27 29
223 64 6
401 486 19
441 376 34
334 110 18
46 421 14
297 471 25
167 115 12
338 400 12
429 43 25
355 205 40
6 11 10
27 103 33
213 159 5
291 115 24
271 568 35
100 82 47
7 58 13
240 565 45
240 406 37
461 218 44
69 72 48
562 154 42
227 294 50
185 506 36
424 459 26
293 498 29
279 477 5
43 501 1
3 233 40
110 133 22
503 440 38
188 317 45
324 524 40
133 117 4
57 519 35
423 522 21
57 578 6
199 203 36
315 286 45
479 276 16
258 446 24
8 354 47
129 75 16
138 55 3
4 399 25
364 293 43
442 2 12
145 444 10
336 299 22
38 273 11
495 226 18
17 406 13
337 234 11
575 251 28
215 292 45
206 209 30
582 146 28
181 238 11
216 197 3
221 441 35
157 563 28
313 133 16
300 82 6
111 134 31
38 481 50
288 305 20
193 110 24
66 383 25
436 222 7
270 404 27
268 448 13
157 366 22
6 406 12
326 489 12
58 511 43
495 78 50
314 166 44
551 572 23
102 247 15
475 365 6
244 213 40
2 126 36
203 56 27
263 373 20
282 150 13
390 9 5
305 215 5
410 260 21
164 49 3
309 579 39
559 1 24
167 117 42
419 438 25
21 558 47
117 407 42
94 289 47
492 188 20
227 10 25
243 518 33
51 92 41
213 298 16
446 326 43
351 354 27
488 181 20
268 534 2
1 417 4
274 451 34
172 418 33
189 485 46
495 313 39
88 550 6
51 591 43
150 72 5
344 132 19
403 530 9
303 174 5
105 306 47
511 62 21
526 367 10
111 583 15
436 399 26
51 151 14
35 585 15
386 501 21
480 194 16
533 534 20
72 320 2
260 288 21
508 375 16
191 349 21
41 12 16
235 367 13
410 441 25
302 231 43
191 221 21
502 250 37
429 132 12
510 139 44
562 497 8
348 484 45
573 186 38
267 7 3
116 264 38
65 52 10
83 144 38
573 579 32
452 168 49
69 556 12
204 215 15
61 146 5
40 297 19
440 516 11
241 359 12
215 282 31
95 573 30
500 461 16
415 297 24
154 302 21
530 277 30
262 544 39
368 521 45
537 394 40
319 193 7
98 530 10
540 580 5
580 269 1
386 328 45
507 161 6
319 208 5
168 588 44
409 288 46
137 133 18
463 49 50
562 435 24
94 467 11
353 391 34
425 230 19
340 413 49
40 260 37
54 358 21
124 347 28
241 160 27
79 509 23
474 156 34
356 469 42
50 157 35
67 135 14
315 27 3
182 25 5
372 523 49
539 526 18
502 263 10
126 534 22
442 423 43
450 287 40
277 80 20
82 117 12
74 103 2
358 257 5
84 56 14
210 166 38
305 43 43
204 6 42
558 167 42
276 170 49
184 197 7
56 319 18
541 153 46
16 307 21
179 148 11
216 496 26
356 427 13
197 461 36
275 488 27
501 200 16
274 196 40
574 379 40
582 84 17
228 201 32
194 96 29
9 105 10
355 557 42
18 278 9
470 360 44
134 44 15
41 235 42
179 446 31
392 226 25
510 415 48
336 539 49
489 385 4
508 417 45
326 26 39
313 420 40
455 52 4
428 346 26
567 144 39
330 584 33
142 205 14
352 76 46
225 194 41
253 501 18
254 545 25
247 294 1
490 539 4
209 402 35
69 452 48
456 60 29
159 18 43
589 219 41
46 345 13
481 348 31
416 520 39
43 420 12
445 569 44
169 155 36
170 111 32
324 318 28
4 45 11
427 437 8
548 348 42
500 573 36
329 375 19
64 532 36
116 109 47
153 450 38
290 584 11
540 475 25
204 177 9
42 178 29
500 283 31
1 568 14
154 380 39
39 36 33
300 253 33
456 479 39
202 222 37
133 306 19
87 167 32
124 270 50
115 95 40
174 555 9
506 383 45
355 410 2
298 152 36
220 103 6
179 303 12
491 499 34
26 475 2
408 399 5
538 242 43
129 60 43
28 143 20
183 168 9
344 199 23
574 471 47
60 499 36
299 112 36
14 357 36
378 328 10
371 385 14
474 255 46
215 518 49
487 546 5
261 373 8
368 234 24
14 556 9
50 457 17
187 302 40
539 455 20
261 487 17
120 206 26
465 37 9
367 583 32
482 545 12
339 391 20
25 178 42
308 352 30
102 406 50
171 27 43
591 147 30
477 21 1
449 362 40
295 189 44
37 407 10
478 535 30
520 539 7
515 49 14
112 273 23
511 43 25
95 199 22
230 70 39
319 516 20
255 513 42
515 42 46
253 154 31
381 528 18
532 548 1
587 240 6
147 486 21
105 256 45
230 541 16
168 300 4
592 181 36
65 103 7
15 195 12
124 123 14
255 292 22
189 462 29
303 242 31
129 118 18
438 288 18
485 18 39
461 165 48
273 81 21
470 519 36
43 205 4
348 262 23
138 586 19
183 228 25
192 82 3
340 279 35
344 451 14
172 432 34
280 420 41
121 3 40
453 555 12
111 577 15
249 29 6
290 40 38
321 564 23
458 58 39
552 503 32
88 14 10
196 403 7
83 472 13
331 592 33
368 256 16
520 211 25
166 108 20
326 132 36
209 149 35
366 113 4
583 86 18
351 473 23
196 244 29
436 504 1
88 425 11
91 179 20
561 553 16
421 150 13
316 367 30
368 216 7
300 136 34
178 316 22
493 362 7
474 70 42
539 322 3
137 569 34
37 158 50
583 340 14
119 453 47
250 403 21
141 480 44
395 328 27
35 546 43
530 42 5
231 463 32
135 202 12
426 417 9
199 286 17
154 270 48
548 348 12
155 320 34
259 23 20
66 314 25
482 2 32
183 320 6
374 330 17
485 319 11
236 500 45
440 485 44
414 410 20
109 258 26
510 582 18
311 2 41
380 483 26
453 462 41
384 592 12
96 318 6
590 294 1
438 284 30
520 372 1
295 241 7
64 197 26
154 276 17
2 396 17
500 178 21
297 316 50
405 138 31
94 189 1
444 145 19
236 358 11
199 563 35
211 496 49
440 371 27
25 11 14
536 379 32
227 543 15
23 511 2
474 72 7
72 292 22
339 471 35
254 204 20
529 128 21
403 397 30
262 546 40
253 135 30
576 119 47
80 283 46
236 105 31
264 194 16
567 351 14
173 434 1
26 3 28
323 475 19
10 543 2
304 431 20
246 390 50
327 444 24
469 209 43
339 221 1
573 232 24
555 32 36
93 32 41
69 372 24
372 411 6
549 169 32
185 562 11
200 217 8
333 165 11
336 471 15
136 335 17
513 583 28
128 527 49
294 375 19
499 268 28
537 313 1
186 461 50
121 201 20
166 308 28
417 147 21
111 447 34
139 478 8
579 431 47
445 22 39
376 538 25
444 14 24
102 542 49
575 304 31
467 310 26
152 454 38
425 112 35
179 113 3
461 569 49
201 359 10
103 583 23
261 264 1
407 340 18
90 472 14
420 262 27
100 578 28
380 392 1
175 74 36
425 302 21
6 586 28
206 523 35
344 192 14
542 257 50
14 507 12
120 112 34
540 11 45
288 146 4
306 419 43
200 134 50
92 491 18
547 505 33
586 583 23
411 115 48
63 282 46
1 301 20
214 354 40
550 158 23
2 437 47
464 434 2
450 499 20
556 522 6
524 517 7
168 19 13
199 57 7
190 361 3
24 149 17
529 140 22
217 101 30
464 122 15
51 100 1
465 490 48
401 383 1
147 363 36
551 524 20
109 544 46
541 126 22
144 394 17
568 206 45
323 440 18
450 32 31
17 420 14
530 26 22
109 368 49
513 514 31
456 552 39
35 175 47
404 212 9
189 262 24
17 536 1
412 58 43
108 257 48
79 8 11
189 344 43
454 36 42
81 495 4
399 39 13
402 195 12
275 507 5
68 225 4
107 410 8
551 537 34
561 418 30
306 330 18
38 337 19
39 329 25
52 566 22
551 503 42
420 279 9
311 81 3
72 91 40
279 74 28
162 187 12
477 243 42
367 341 27
154 88 2
12 466 39
412 105 28
506 399 1
585 510 44
568 176 7
137 236 14
228 126 22
185 285 8
433 102 35
285 188 19
280 333 13
105 14 26
320 480 50
345 337 31
524 104 37
591 428 43
299 589 47
179 215 36
470 369 11
271 564 26
397 352 43
119 307 34
223 437 22
102 470 5
244 406 15
57 289 21
407 160 39
318 546 48
579 307 14
135 398 4
155 440 27
464 557 50
534 41 46
583 575 9
226 325 10
58 273 38
217 414 2
138 494 32
199 527 26
516 526 18
444 9 10
185 347 17
537 114 23
436 198 6
410 365 28
204 24 39
202 500 50
371 303 35
9 89 17
260 391 40
244 353 21
1 45 28
16 248 47
230 482 35
204 331 17
80 49 33
408 134 11
135 74 17
312 18 11
579 467 23
509 146 50
147 489 34
416 488 25
277 480 18
304 569 44
399 199 49
42 50 29
106 556 5
310 305 16
182 219 3
530 270 44
307 417 39
361 332 26
1 132 45
80 554 34
286 365 37
422 28 25
73 563 9
483 533 27
2 244 42
242 388 19
100 248 34
310 195 16
318 247 48
491 113 41
577 363 13
439 115 38
273 531 36
458 368 12
213 82 1
547 215 4
254 72 43
258 420 33
370 358 2
492 332 3
484 474 35
280 42 48
412 419 5
577 444 32
3 582 5
160 487 3
212 194 19
364 2 42
346 587 48
518 309 24
533 552 4
365 111 45
482 480 47
42 140 33
169 100 11
348 529 37
153 55 20
381 80 39
380 382 30
312 448 38
298 545 18
48 399 23
238 103 6
289 102 45
204 7 10
474 477 11
405 85 15
21 242 31
280 213 8
93 81 20
375 489 50
258 7 44
187 474 22
170 370 16
155 567 27
368 281 31
242 38 50
368 315 41
144 439 38
17 132 17
377 22 5
29 70 39
16 124 11
213 344 17
518 21 1
145 446 1
269 472 42
304 215 35
57 289 38
304 213 44
263 570 7
406 309 47
257 509 21
300 22 28
130 306 18
162 117 37
527 261 3
585 136 10
126 163 28
162 172 28
33 343 27
522 120 6
131 355 19
150 41 21
9 176 30
430 288 27
38 181 48
259 440 27
260 566 12
289 199 24
516 147 29
592 413 50
222 277 49
359 263 24
206 540 30
394 416 50
431 376 36
144 134 13
257 422 17
119 185 12
506 74 40
27 25 3
250 339 19
430 527 44
540 550 42
208 390 8
286 519 23
24 29 1
496 518 48
198 74 8
468 242 24
131 564 40
470 16 12
478 408 39
290 521 39
143 510 12
407 434 25
269 336 43
568 281 39
296 39 33
471 184 20
196 279 49
522 592 42
517 216 8
129 186 2
167 366 42
551 251 29
584 87 41
472 218 4
148 158 47
121 524 16
82 362 43
568 118 19
556 12 47
374 523 26
373 332 46
256 52 12
104 131 32
55 515 35
94 509 19
542 462 4
464 417 3
138 569 16
415 485 19
370 320 19
484 66 2
24 232 45
295 55 36
188 590 43
503 387 15
43 200 20
176 108 45
76 331 15
8 202 1
431 498 38
178 462 36
123 220 9
22 221 26
481 382 11
538 467 48
104 129 16
287 143 28
178 141 29
215 331 50
355 482 39
559 368 12
26 28 28
466 365 37
527 96 11
544 173 19
312 147 40
93 67 2
88 346 25
374 103 29
91 9 18
331 406 26
404 107 31
476 336 20
277 482 17
514 527 7
207 466 12
580 573 4
340 240 19
523 477 6
159 591 17
125 465 40
257 81 14
308 161 18
370 307 21
464 344 50
557 564 4
127 580 46
543 477 10
26 293 11
449 47 29
80 346 26
283 254 36
267 375 34
124 127 38
271 137 45
345 11 4
230 144 23
96 538 47
526 237 31
432 520 35
431 280 9
92 539 18
163 585 10
517 47 46
195 520 28
350 570 12
78 520 13
270 425 7
436 224 35
301 309 41
119 354 50
378 311 28
102 7 50
157 479 30
217 508 30
247 511 13
50 576 33
164 313 13
11 104 30
263 369 50
538 263 35
327 393 14
364 537 19
387 321 32
345 414 45
380 260 30
78 585 23
51 475 11
79 296 28
15 381 31
440 78 22
367 331 33
40 46 38
443 309 4
553 361 24
167 364 38
368 416 38
410 284 19
171 556 35
53 320 11
57 30 13
290 415 41
212 181 50
70 123 13
535 433 4
275 423 39
109 188 20
20 501 36
41 43 46
71 260 31
259 45 27
108 121 40
60 235 24
245 54 24
588 107 23
96 311 31
326 493 26
277 149 22
560 109 7
321 223 24
368 252 7
389 202 4
475 206 1
179 210 18
394 66 23
568 420 11
95 6 3
527 214 38
401 360 37
561 452 21
410 271 44
498 206 10
121 116 31
45 394 17
432 176 31
571 479 50
473 498 17
325 144 31
283 567 12
368 444 5
497 551 1
352 304 36
442 286 19
348 172 49
216 425 33
379 105 38
300 217 10
359 163 24
99 180 18
255 297 49
530 304 48
509 144 11
580 591 30
68 434 40
441 353 47
587 115 22
132 125 18
551 121 40
354 543 40
100 241 41
261 225 2
179 95 39
536 512 25
447 287 13
499 103 11
144 518 4
80 99 9
387 163 4
477 507 4
301 322 22
214 509 46
203 395 40
423 414 41
64 365 39
147 514 24
296 392 39
562 483 28
90 442 43
506 356 41
224 351 42
153 333 24
532 470 30
428 563 21
238 54 23
218 430 45
367 410 30
248 150 29
535 449 4
84 195 25
427 373 44
211 302 30
204 355 14
549 304 21
48 362 18
56 241 29
481 341 8
221 422 37
128 540 41
298 328 25
349 28 22
224 524 41
587 84 40
211 162 20
375 464 23
579 586 22
422 179 50
467 558 17
434 565 34
442 333 20
519 201 10
153 318 2
120 391 50
577 545 19
115 62 47
207 271 40
405 204 27
112 65 40
324 478 49
124 381 2
458 235 40
514 267 43
79 292 45
206 38 19
545 431 29
137 574 34
348 542 48
145 60 29
302 136 20
571 20 49
153 197 24
39 134 34
195 280 10
209 450 36
416 366 43
554 316 31
59 345 35
185 119 18
393 376 15
378 78 30
257 18 12
335 316 36
65 18 38
399 264 45
182 83 39
350 345 48
259 511 20
524 246 3
220 143 22
