338 59557
147 162 5
272 142 48
255 45 16
324 22 39
155 169 20
90 255 34
133 149 50
279 256 29
282 52 1
326 100 23
60 86 19
110 205 35
285 61 21
63 27 37
160 79 31
77 303 20
155 199 6
82 46 26
258 235 22
73 292 39
232 124 19
173 161 35
108 137 20
26 62 42
150 293 33
2 87 7
207 255 20
282 266 31
205 10 32
152 129 11
151 128 33
178 63 45
315 66 12
254 48 33
68 206 40
10 148 8
140 135 15
180 237 50
193 307 49
130 297 38
330 114 37
62 49 1
243 100 2
291 178 15
38 124 8
55 180 43
205 154 36
178 220 24
126 188 5
101 185 2
241 295 37
105 132 38
59 71 44
29 12 27
221 43 33
81 298 45
145 224 20
42 169 14
290 8 13
207 333 11
200 157 41
132 15 22
23 76 37
102 158 31
171 120 28
37 179 44
298 123 19
146 130 47
3 326 4
4 13 26
224 112 8
201 192 48
142 74 29
114 147 9
187 35 9
92 306 8
120 316 20
214 50 18
126 183 20
184 277 43
9 254 11
245 136 24
92 271 43
197 43 34
140 228 1
102 314 49
302 334 1
139 62 46
117 313 27
298 114 29
101 319 25
51 200 36
291 239 7
167 220 32
101 141 20
285 81 41
287 37 9
237 207 39
162 205 45
253 292 23
295 75 45
331 149 18
26 243 24
306 221 30
180 324 24
205 133 41
254 292 25
269 292 31
312 23 44
276 234 33
128 179 11
154 136 10
45 93 27
198 119 7
202 267 30
139 198 35
148 277 23
66 337 35
145 52 39
46 223 40
297 212 25
268 80 6
94 85 30
127 26 41
308 118 43
260 238 48
254 231 22
253 206 37
187 63 34
216 27 20
78 294 50
7 44 28
211 110 40
8 54 40
193 21 8
20 191 21
108 158 36
103 249 7
209 226 43
136 30 42
265 282 4
115 271 34
275 304 38
271 215 3
296 292 41
226 44 45
303 157 20
70 35 31
80 126 48
157 256 37
246 211 47
314 327 21
163 282 25
17 18 5
335 210 39
292 124 7
272 326 47
215 241 48
55 197 27
6 189 11
207 131 3
120 318 8
109 139 19
215 184 10
83 109 34
246 206 41
213 291 16
194 288 36
223 277 45
110 177 10
82 90 1
232 96 31
207 5 28
114 33 21
265 102 33
23 71 46
49 203 30
125 11 16
29 48 34
129 214 6
135 169 50
130 311 40
201 5 9
7 280 47
240 218 39
152 262 25
288 246 7
89 146 4
149 55 15
258 255 11
9 307 35
268 275 41
263 225 2
287 200 48
144 209 2
39 42 13
189 194 11
149 139 47
150 126 22
178 286 28
40 150 6
102 149 26
139 143 17
188 209 23
198 295 13
252 98 22
290 296 19
171 29 12
124 30 18
173 172 21
273 133 1
39 109 43
7 300 46
236 282 17
114 85 1
222 106 49
337 129 47
153 251 11
221 16 15
163 7 35
1 234 6
257 145 43
233 150 31
264 280 2
150 46 24
255 35 13
67 302 22
287 27 43
307 254 23
187 312 34
44 110 15
246 12 40
53 39 35
306 262 37
231 263 12
329 68 48
306 309 10
249 185 48
74 39 43
197 140 16
148 201 36
248 229 27
23 150 15
97 246 37
64 75 35
276 194 45
307 319 1
31 250 39
87 211 35
334 6 24
203 150 38
290 264 45
125 256 19
233 279 19
53 71 45
174 84 40
181 89 26
318 250 44
25 162 25
59 160 32
4 30 49
264 15 2
182 29 41
227 138 24
69 334 10
66 106 49
179 133 16
172 149 38
54 179 48
85 312 42
68 116 38
257 62 3
117 301 22
14 304 6
173 59 26
59 166 39
306 72 31
219 126 25
112 249 42
151 76 42
242 233 48
79 271 4
1 259 48
7 127 38
329 34 44
32 134 19
232 326 10
259 279 49
169 194 26
309 115 2
277 172 13
85 319 19
4 212 37
50 88 29
95 249 41
115 10 6
182 135 31
102 183 46
34 194 44
109 140 6
239 47 29
245 23 1
324 41 1
14 294 2
143 6 28
127 57 23
57 167 31
147 269 44
263 129 45
73 11 3
322 14 39
314 255 14
255 303 1
268 117 4
78 97 10
264 104 13
5 274 8
20 214 33
179 180 32
320 235 33
251 26 34
324 244 2
206 13 25
299 160 37
36 219 42
160 283 3
335 284 10
288 320 43
98 256 46
76 45 48
295 115 30
165 139 41
61 19 49
35 73 15
330 48 48
242 112 27
148 296 23
279 329 16
172 32 15
221 58 30
245 89 26
334 138 14
105 283 29
188 64 40
163 10 9
337 221 35
183 303 48
35 74 17
330 43 26
305 25 42
165 75 26
150 310 13
92 11 30
94 213 10
17 183 28
328 177 9
144 152 7
142 262 39
138 320 9
233 306 28
315 107 48
305 178 2
312 2 50
14 164 18
295 96 43
3 214 35
186 38 45
134 168 8
208 329 19
90 131 47
69 226 37
103 327 31
141 21 32
73 302 2
79 126 26
131 309 6
188 178 7
335 320 32
266 26 24
208 181 29
238 210 17
160 265 40
325 292 13
312 109 49
248 37 38
163 274 36
124 282 32
260 291 47
31 20 13
290 146 26
234 158 11
74 273 19
188 176 43
192 121 35
43 152 36
