848 96255
114 382 47
411 244 42
439 90 17
355 286 28
683 121 38
15 415 4
211 684 22
3 748 9
278 591 24
833 821 27
95 264 36
106 766 41
686 364 43
674 201 44
640 63 15
91 635 29
269 745 30
324 557 25
592 451 29
623 620 41
608 482 15
629 460 46
12 24 12
564 490 26
518 172 26
570 653 32
27 622 35
91 766 3
480 761 37
560 342 14
767 209 25
272 618 21
292 367 24
506 247 4
779 415 5
594 292 8
196 741 31
817 195 41
244 84 22
214 591 4
228 526 35
10 8 9
598 192 17
468 119 27
707 248 29
715 51 47
331 450 17
25 225 32
537 456 23
91 136 41
270 799 6
181 398 47
733 209 28
22 795 26
275 261 47
514 154 22
398 472 36
356 707 26
731 805 42
379 440 1
840 94 10
758 210 13
411 347 41
58 394 16
767 126 36
255 174 21
319 220 9
362 842 49
418 839 45
64 458 20
617 696 20
578 405 4
411 579 3
506 628 44
739 253 43
760 526 15
3 195 34
337 632 9
801 32 24
786 99 11
40 267 45
778 452 17
802 389 30
167 125 46
565 115 38
391 333 17
470 340 7
267 830 20
347 298 17
161 751 22
395 348 10
10 608 4
226 460 31
559 706 50
289 472 17
762 386 11
116 348 16
226 652 7
643 56 30
833 26 34
143 232 50
3 563 5
827 622 47
35 367 29
327 842 20
691 347 3
658 483 32
725 823 42
472 268 12
39 493 4
342 309 45
335 96 25
711 757 35
550 398 26
240 492 46
469 54 4
538 805 20
66 162 25
672 299 15
747 67 41
519 323 40
231 590 18
117 782 42
287 498 38
281 723 24
393 729 38
711 310 20
537 144 5
556 696 39
568 35 8
379 832 41
660 180 43
740 448 42
39 645 25
194 239 31
830 521 32
778 557 4
457 167 20
136 508 44
769 508 42
107 403 32
231 401 4
585 830 37
74 621 22
189 246 8
116 779 24
544 543 26
288 585 43
275 696 46
716 500 12
688 579 35
179 839 49
449 821 7
536 823 37
279 781 29
182 349 24
751 758 34
538 660 39
414 472 22
739 421 14
364 48 39
154 537 10
463 838 6
395 71 32
781 806 12
638 579 44
30 414 45
422 96 27
211 848 45
15 188 27
760 221 24
797 590 7
626 233 45
216 49 41
456 364 19
776 765 15
677 51 44
206 315 16
28 119 8
185 313 35
298 722 17
746 626 36
620 369 34
154 265 19
781 561 10
175 713 50
17 115 5
41 699 41
470 359 8
584 834 6
83 432 4
715 455 48
263 685 21
533 5 23
322 394 38
443 616 17
310 614 10
89 406 23
403 37 24
687 550 13
191 274 33
668 690 19
36 726 45
104 519 17
349 236 35
165 60 5
683 761 1
574 71 38
229 14 9
559 665 26
688 272 19
325 338 14
592 309 24
475 376 32
623 403 26
11 240 20
812 721 32
336 557 37
792 612 33
448 368 9
374 121 13
617 460 1
654 585 6
807 303 50
241 59 27
390 442 36
413 322 9
90 46 49
119 106 29
132 639 3
522 431 14
667 554 20
344 416 39
605 725 15
733 577 40
271 364 48
34 822 3
837 822 24
647 178 15
223 737 23
159 391 44
707 642 29
511 24 5
335 221 7
128 89 1
192 443 39
389 481 14
247 840 13
412 98 14
439 845 19
610 274 39
309 787 44
489 63 12
601 560 44
596 653 31
752 832 32
552 116 35
276 752 32
790 772 7
351 458 9
169 841 5
824 547 4
137 452 15
141 13 40
676 682 2
315 267 27
554 556 35
103 347 3
693 143 47
197 249 24
556 580 17
487 807 33
121 156 40
538 350 13
596 512 4
755 395 8
500 635 42
798 194 6
227 119 38
240 740 22
396 600 15
368 99 29
762 731 13
109 362 33
201 29 44
810 707 21
732 118 31
58 528 48
370 748 33
344 288 47
156 257 41
333 151 7
274 630 7
622 646 24
158 585 30
602 700 1
642 365 47
292 607 21
99 807 40
324 617 40
160 5 12
88 128 28
325 39 46
124 635 22
584 514 33
10 315 40
341 153 4
435 527 42
249 138 27
690 275 17
105 317 38
807 675 49
208 253 26
744 567 3
481 225 24
681 372 16
683 190 25
55 553 24
338 156 41
527 485 22
38 654 15
415 585 30
560 451 35
470 118 31
765 541 45
784 200 3
472 371 6
836 720 17
569 241 43
133 272 11
431 417 24
133 816 44
143 121 2
261 60 22
162 251 41
140 114 25
184 463 5
37 106 32
519 832 29
686 639 16
534 422 18
302 94 15
334 482 39
698 790 23
375 352 28
775 568 36
329 574 23
234 714 40
555 723 8
395 689 42
486 352 41
192 404 28
689 131 49
618 683 9
795 13 28
640 366 38
733 835 10
751 248 19
288 815 28
293 636 8
799 151 26
546 769 18
70 662 16
292 639 33
275 221 1
389 516 35
520 759 4
354 578 50
178 205 21
469 398 23
276 161 15
502 227 18
329 164 41
631 472 33
502 615 17
385 603 3
691 652 47
683 660 26
728 69 32
820 323 19
829 171 7
465 608 1
705 806 25
687 335 37
501 604 35
146 357 12
670 514 42
753 264 45
727 503 31
677 373 26
511 224 22
655 797 8
672 222 2
717 181 27
778 63 38
584 207 33
81 403 25
504 118 12
37 420 40
222 575 25
202 416 8
498 177 15
735 665 18
305 534 29
263 478 14
51 608 33
162 12 32
70 619 13
610 185 15
719 64 32
358 28 45
63 187 49
526 553 44
671 474 35
11 462 17
735 409 11
175 415 33
590 422 4
552 406 43
775 409 16
163 848 24
728 823 18
405 496 45
469 170 4
717 215 8
818 603 49
414 633 19
163 243 21
767 370 32
347 9 12
66 714 1
106 126 38
173 848 35
556 55 24
406 510 37
9 644 8
103 703 46
724 247 10
654 521 8
780 31 12
388 428 20
452 413 34
217 573 14
767 14 26
625 215 36
309 221 6
13 253 26
379 162 5
838 195 13
437 57 46
758 701 30
231 230 26
733 211 29
40 4 9
324 167 38
98 658 37
705 810 44
126 599 11
159 299 17
183 639 30
468 439 6
74 543 48
667 558 38
716 292 33
558 274 20
568 313 39
484 848 25
30 835 46
285 427 15
114 637 31
480 457 16
575 633 22
749 599 24
23 99 1
27 757 10
645 421 41
844 6 19
820 457 13
403 275 7
310 791 4
134 605 49
578 552 38
785 218 44
520 501 45
717 212 43
487 334 22
241 255 20
676 753 3
596 125 11
609 564 46
291 845 5
351 368 44
545 274 31
230 786 45
489 469 49
212 744 13
562 595 28
744 311 40
529 61 33
351 494 4
424 43 18
699 482 21
429 229 24
757 181 12
519 687 11
199 640 10
771 571 46
460 215 29
498 665 50
581 547 13
354 397 40
827 446 33
527 431 20
444 592 45
236 744 41
505 346 15
367 467 21
717 581 18
426 503 14
279 285 37
528 517 15
491 110 49
13 341 45
772 237 27
10 759 49
417 576 28
469 757 31
456 492 39
462 417 44
372 163 4
521 310 21
277 523 2
633 468 32
191 15 31
282 290 3
573 392 10
267 365 14
587 78 38
56 372 37
675 530 20
361 822 49
367 152 38
109 701 26
334 632 10
322 149 22
823 415 4
80 153 41
69 546 31
745 760 8
203 690 18
108 360 36
302 284 26
625 846 22
819 149 24
333 602 16
813 513 43
773 564 19
385 679 19
424 457 44
473 582 22
304 507 6
272 639 28
42 671 10
496 280 11
575 762 22
263 157 36
704 65 29
309 424 32
135 197 40
200 160 1
608 606 6
746 640 47
340 592 26
548 370 4
692 115 11
774 715 46
805 449 4
811 646 33
197 559 16
165 11 26
178 562 3
541 24 41
651 297 5
795 59 8
192 465 39
234 441 8
498 511 47
417 92 22
640 233 8
788 358 25
251 118 49
122 71 27
828 636 42
624 248 6
370 643 29
255 96 41
356 237 19
2 692 11
648 508 29
837 84 9
256 226 39
314 299 12
809 668 39
727 694 32
578 274 16
293 83 9
224 326 5
8 305 5
485 116 26
679 434 37
608 676 50
25 616 14
793 794 12
163 491 44
225 232 3
447 675 28
178 258 21
675 506 39
268 547 12
774 697 1
686 730 43
517 363 36
398 51 24
411 212 7
438 522 45
142 47 33
248 343 40
638 231 10
532 656 33
38 794 2
82 89 39
179 164 48
381 638 10
279 14 46
150 665 25
66 17 48
397 106 15
156 256 8
751 173 42
586 518 44
689 388 46
627 554 14
400 825 33
137 309 42
239 128 23
320 137 10
836 361 20
787 403 22
777 464 20
461 136 45
841 3 39
313 193 9
207 534 49
91 445 38
292 233 15
736 645 17
72 607 21
323 427 35
187 76 38
260 378 15
621 399 22
151 427 21
13 565 32
735 692 41
728 302 19
317 713 5
298 533 12
597 349 21
49 189 44
481 683 9
252 786 1
157 521 41
201 75 28
614 110 46
148 847 22
106 234 17
17 377 6
342 109 30
715 809 39
561 128 29
45 767 9
699 712 36
538 36 30
101 68 18
244 295 42
475 633 7
7 346 23
791 264 7
9 142 27
646 558 15
378 603 20
462 345 35
429 659 49
267 1 8
482 509 34
152 212 33
385 312 50
260 309 12
139 673 44
681 329 14
634 267 16
292 404 2
577 239 15
765 309 24
717 761 38
662 729 44
27 156 7
711 673 15
232 55 33
625 637 13
496 427 42
596 352 21
553 13 42
393 50 40
312 685 40
496 783 40
713 487 24
122 753 9
168 813 43
139 702 25
383 742 29
177 194 4
662 770 13
242 104 4
52 190 9
292 115 6
313 762 43
559 417 33
445 512 31
187 847 27
176 78 44
158 558 22
202 97 27
211 148 31
630 574 38
407 261 16
544 843 24
585 132 48
370 538 44
253 488 10
783 259 50
173 805 48
291 505 45
662 268 14
165 350 43
91 96 50
603 605 29
582 514 7
218 646 29
558 352 7
145 523 30
655 138 21
598 504 19
679 439 16
615 192 29
666 283 8
498 372 47
70 534 36
537 614 10
62 133 41
713 778 28
729 684 21
771 372 28
765 768 48
512 480 6
199 60 42
323 67 47
463 125 34
89 106 16
354 98 13
260 335 47
84 378 49
327 823 50
82 438 8
687 630 14
738 103 25
485 515 47
660 276 1
169 823 14
321 336 8
795 266 18
796 614 45
81 365 23
719 687 26
135 581 32
149 750 2
160 258 24
234 343 42
563 622 4
803 94 28
301 1 43
588 755 18
411 793 46
567 124 32
404 305 40
43 459 35
545 719 4
774 233 3
62 241 46
553 738 46
38 551 34
25 308 21
160 47 22
295 796 46
826 122 4
274 672 6
266 107 40
643 714 12
405 666 39
732 207 34
777 598 28
64 493 36
384 483 41
201 422 26
146 468 20
223 609 32
4 572 29
445 441 46
407 591 21
50 773 3
515 563 6
257 105 41
739 255 16
705 441 48
482 458 43
609 66 36
48 347 12
9 370 34
831 343 40
182 789 26
462 231 38
784 730 32
149 786 15
221 218 34
350 3 17
384 350 14
694 186 27
505 630 45
33 701 44
425 512 28
158 226 7
600 258 43
253 592 49
236 318 33
319 389 37
756 152 17
195 598 23
637 399 36
783 481 40
507 595 21
709 481 3
484 270 44
292 215 39
816 304 40
614 53 43
387 678 8
79 117 11
762 602 7
477 172 38
159 365 35
279 430 40
477 10 10
746 530 19
439 277 12
787 85 32
201 537 11
783 583 38
163 483 4
306 453 36
448 723 31
343 512 45
110 700 22
692 415 4
738 256 39
360 238 8
428 62 8
480 128 41
268 219 16
649 841 46
816 176 46
722 841 40
141 398 13
701 725 29
167 393 3
340 7 46
702 737 24
29 195 40
151 318 21
615 207 15
265 757 43
585 277 44
174 446 2
512 649 5
658 552 19
69 527 25
527 633 18
701 566 49
39 743 41
724 732 4
358 363 24
429 366 39
145 326 39
495 334 49
664 137 7
407 169 42
840 497 40
281 780 32
845 826 24
356 127 3
96 140 3
646 648 9
756 326 18
636 785 22
648 449 31
509 180 49
180 412 44
273 692 28
344 27 44
95 825 1
730 24 44
836 484 13
328 655 1
727 706 39
477 743 33
641 251 16
318 542 13
406 688 30
310 554 27
315 74 6
645 581 47
58 123 24
661 98 7
802 114 12
769 67 28
658 771 26
834 382 6
754 638 50
663 667 28
782 541 20
448 2 29
476 361 18
639 636 22
763 735 50
405 762 10
292 192 19
139 282 27
66 507 42
493 557 18
401 209 28
841 247 24
359 502 43
719 684 7
592 128 37
592 358 32
607 618 5
618 806 47
823 446 4
69 695 6
126 18 33
114 62 7
704 388 48
357 156 11
132 83 19
787 218 45
455 808 11
618 464 19
736 156 50
280 465 34
5 353 32
821 221 35
463 529 32
805 271 38
654 411 21
15 546 46
690 679 28
329 431 4
702 385 12
28 722 9
177 843 34
510 579 8
773 745 16
211 128 48
36 379 22
116 780 12
697 634 27
828 803 13
809 228 45
125 69 33
311 111 10
141 318 9
529 531 3
95 453 2
366 388 33
476 600 27
459 708 2
229 353 47
287 785 47
837 557 37
184 626 21
754 361 9
786 409 41
639 427 30
314 276 1
91 224 38
431 222 9
223 774 24
833 136 25
701 539 14
669 822 6
52 430 44
328 739 27
123 585 2
802 180 45
297 599 31
476 19 1
62 570 13
259 286 41
463 724 46
199 595 31
285 533 48
31 11 41
94 675 12
367 704 7
22 670 9
768 392 19
535 665 16
280 606 23
307 541 17
21 557 42
827 172 46
196 19 50
53 540 37
8 287 4
611 415 41
135 442 15
