222 43198
41 99 31
23 198 46
99 144 11
83 95 40
214 59 31
43 94 26
120 117 16
57 128 25
212 211 49
174 69 44
122 54 16
36 79 19
55 93 33
197 180 32
67 158 46
1 214 12
217 221 26
27 157 49
192 14 41
222 205 45
84 203 46
96 12 31
91 17 50
83 33 50
60 110 32
95 174 18
151 198 46
106 66 7
220 93 41
41 204 16
138 102 39
19 11 20
89 208 4
35 16 12
79 122 31
123 200 26
101 85 38
108 120 11
2 28 20
181 3 26
97 105 47
125 199 29
165 172 35
20 93 47
128 177 42
206 214 8
1 174 36
169 150 35
207 111 12
51 19 5
83 206 14
198 56 21
9 85 19
154 18 50
44 160 24
28 214 45
113 151 36
216 108 47
3 139 27
49 190 26
68 92 40
164 73 23
5 131 47
163 216 6
159 72 21
21 79 26
100 12 7
190 214 34
148 66 4
8 91 46
5 43 28
36 176 11
101 79 34
27 50 29
65 17 31
116 35 24
1 5 17
95 26 50
91 51 19
65 98 38
113 114 5
178 74 40
190 110 40
38 173 10
140 209 24
72 31 2
112 212 41
200 62 15
15 192 19
45 147 42
71 159 33
185 49 29
141 55 13
91 4 44
212 205 35
52 68 17
125 110 26
85 210 25
111 189 46
11 175 29
181 23 2
167 133 50
28 119 5
161 138 37
213 164 26
154 162 18
122 3 30
55 131 7
83 116 20
36 177 50
56 219 40
203 3 5
37 65 45
160 134 41
77 173 20
74 199 24
178 50 17
76 102 5
39 117 36
72 58 43
185 213 21
113 198 26
141 86 12
16 202 4
40 193 38
193 135 3
153 212 3
83 174 25
122 101 30
202 87 29
166 100 25
217 170 3
169 89 4
51 167 47
214 201 46
63 206 30
143 93 45
12 7 38
137 182 13
206 153 29
83 55 45
165 7 47
124 123 16
75 99 7
76 40 45
85 49 39
22 72 36
79 39 12
8 217 19
77 71 49
72 54 44
67 213 3
48 106 36
11 202 29
37 36 20
214 15 39
181 4 7
21 203 35
32 202 48
62 94 3
113 158 21
143 161 21
162 204 28
27 7 10
130 162 33
125 170 2
133 159 43
116 165 47
127 91 37
49 136 42
95 195 20
213 159 49
61 202 1
6 119 33
121 215 25
207 101 18
3 189 27
46 41 41
166 128 26
196 85 42
38 21 18
58 185 37
51 20 24
65 63 41
25 67 40
69 160 27
53 45 26
64 201 19
196 139 32
168 46 47
221 204 3
106 122 21
21 148 21
116 123 2
101 57 36
160 154 26
108 114 27
68 62 6
132 184 37
64 75 34
122 180 35
17 25 9
216 146 46
93 165 9
114 86 38
172 81 20
173 88 13
20 104 41
118 197 13
142 13 45
15 191 37
37 121 23
9 22 25
12 91 23
124 206 21
43 131 8
156 92 29
37 126 28
188 58 37
100 222 24
34 70 27
74 162 40
46 25 33
38 96 9
36 71 46
180 151 32
214 91 17
192 138 28
111 83 20
163 182 9
21 120 39
17 88 40
119 143 30
166 21 27
35 135 43
94 120 50
69 60 2
160 167 15
7 45 37
101 6 14
189 164 42
126 114 28
197 189 13
182 81 27
32 135 47
31 195 20
175 133 50
145 85 4
7 19 43
179 47 1
222 32 24
171 29 40
41 204 36
35 197 35
26 50 29
67 177 34
213 138 7
18 189 28
220 215 27
35 45 40
44 29 46
132 36 13
171 153 19
73 35 17
55 163 17
73 156 34
115 82 49
131 96 7
11 144 18
116 47 18
170 194 25
165 91 5
33 43 22
10 173 13
101 137 20
75 189 16
69 90 34
45 160 30
120 97 26
24 32 36
206 222 24
212 13 30
183 122 37
6 209 24
122 76 22
34 3 5
95 84 13
120 77 47
7 140 11
192 205 21
179 110 38
2 220 32
208 116 20
126 1 18
1 3 42
190 192 35
217 70 20
173 110 36
187 113 40
105 106 49
72 7 20
42 161 20
58 48 33
91 22 15
206 50 36
197 5 16
124 186 5
126 216 41
200 34 37
205 204 48
6 193 30
54 124 34
88 121 23
160 161 35
84 66 16
221 21 26
64 115 7
63 204 4
91 159 19
119 135 48
47 167 48
135 191 7
36 51 49
191 136 43
10 188 39
50 40 20
189 174 36
213 170 10
55 121 31
179 203 11
70 143 32
207 178 41
54 40 31
175 97 13
9 120 16
7 35 42
215 179 8
190 127 46
145 173 29
74 12 19
45 137 40
39 16 42
136 168 15
213 208 11
76 146 21
135 216 10
97 93 47
161 124 14
175 174 49
45 7 16
146 119 22
176 105 41
67 37 6
167 169 22
194 9 29
206 181 45
17 45 32
27 112 10
40 81 31
59 27 38
100 46 46
89 86 27
1 162 39
1 207 9
86 205 34
135 110 7
43 193 15
166 147 36
93 198 21
63 20 18
78 80 45
28 210 4
141 35 5
89 136 12
168 151 7
4 114 42
190 11 41
221 172 21
138 85 38
198 63 38
4 27 42
123 7 28
151 149 39
144 209 17
18 170 23
202 119 36
149 179 28
162 159 44
198 200 50
101 196 40
176 214 1
107 81 21
153 197 42
32 128 23
186 71 3
15 222 37
102 106 5
103 131 29
71 171 24
11 155 2
74 4 17
7 172 46
167 54 39
126 12 11
177 83 10
52 71 4
9 2 7
221 147 10
32 29 26
215 46 20
36 60 32
192 198 10
66 155 35
116 98 38
43 183 39
13 135 26
56 187 29
152 207 47
191 149 9
40 214 14
24 74 47
48 147 50
74 126 22
98 163 4
45 56 41
192 209 50
2 203 47
140 163 4
118 24 9
1 205 7
148 23 20
209 180 12
23 99 12
211 93 35
199 30 26
109 154 15
124 154 39
156 11 25
123 22 36
120 25 40
122 107 30
137 174 26
178 211 12
82 93 35
40 166 20
142 64 28
183 144 32
119 36 17
217 99 30
216 113 19
104 146 36
138 211 19
174 202 26
61 9 36
40 2 10
8 26 18
46 29 33
42 194 23
21 97 11
164 188 26
121 195 37
216 124 30
43 123 6
126 36 46
129 68 18
153 203 14
42 76 11
162 145 37
135 105 24
61 170 18
9 182 11
139 39 27
59 18 26
124 25 11
88 168 24
150 118 6
181 153 21
134 84 8
200 220 44
206 186 39
134 106 28
178 95 42
192 31 46
11 14 37
79 210 30
9 154 37
88 80 49
96 93 40
214 151 45
61 194 26
219 137 47
76 139 6
96 166 2
147 25 22
89 121 14
197 138 25
29 179 42
109 146 43
217 4 17
9 87 30
18 209 32
201 70 48
55 92 26
199 185 2
50 55 3
174 172 35
37 73 10
68 69 27
19 190 17
18 66 16
180 108 7
106 28 28
40 170 9
213 44 5
157 210 49
124 24 30
77 209 7
68 194 44
185 170 6
83 127 14
55 48 44
197 125 30
85 185 7
157 34 29
168 39 15
94 150 20
204 34 9
72 55 26
171 209 3
26 181 28
72 6 45
49 200 13
70 166 14
219 38 18
74 159 27
25 75 46
29 32 18
57 222 7
79 148 15
11 191 22
219 148 30
196 76 21
14 188 27
210 148 3
85 118 44
44 127 31
143 122 34
209 187 18
183 196 1
182 138 43
98 57 31
146 170 35
71 67 14
135 116 16
144 56 5
120 9 47
123 77 43
198 212 50
204 72 31
105 32 12
136 153 43
63 76 7
210 60 31
143 222 43
8 64 25
172 211 28
47 31 41
190 40 11
12 1 36
30 57 16
111 166 8
28 124 16
82 182 36
198 58 1
139 213 22
179 176 6
145 181 25
175 131 8
38 198 5
157 2 40
154 172 47
91 101 12
2 34 44
101 85 24
220 11 28
115 53 20
76 150 19
119 132 50
36 13 48
4 108 2
195 103 6
86 15 19
97 21 5
171 196 4
116 180 16
126 105 17
87 64 25
79 152 50
33 70 22
147 219 33
72 156 3
176 168 22
134 136 26
143 105 13
201 203 18
24 165 20
190 171 3
78 134 47
116 208 11
31 18 13
